Designator,Mid X,Mid Y,Rotation,Layer
C1,100.975,-95.3725,90.0,top
C10,108.2,-94.4,90.0,top
C11,135.55,-112.875,270.0,top
C12,141.5,-112.875,90.0,top
C13,123.625,-82.6,0.0,top
C14,95.6875,-80.175,180.0,top
C15,128.65,-107.8,0.0,top
C16,140.3,-107.8,0.0,top
C17,123.8,-95.3,180.0,top
C18,123.675,-84.475,0.0,top
C19,93.9875,-85.675,0.0,top
C2,93.925,-95.3725,90.0,top
C20,97.3875,-85.675,180.0,top
C3,112.45,-104.675,90.0,top
C4,113.15,-102.275,180.0,top
C5,107.35,-109.5,270.0,top
C6,112.15,-109.5,90.0,top
C7,113.5,-94.6,90.0,top
C8,115.4,-94.4,90.0,top
C9,110.1,-94.6,90.0,top
D1,98.225,-105.5225,0.0,top
D2,100.575,-109.0725,180.0,top
D3,116.35,-109.275,270.0,top
FB1,111.8,-94.6,90.0,top
J2,85.78,-108.82,270.0,top
J3,85.835,-96.81,270.0,top
LED1,139.7,-95.2625,270.0,top
LED2,135.98,-95.2625,270.0,top
LED3,132.26,-95.2625,270.0,top
LED4,92.48,-99.16,270.0,top
LED5,119.8,-94.2,270.0,top
Q1,98.105,-100.7725,90.0,top
Q2,96.805,-109.08,180.0,top
Q3,116.85,-100.525,270.0,top
R1,95.575,-95.3725,90.0,top
R10,117.55,-104.675,270.0,top
R11,115.85,-104.675,90.0,top
R12,114.15,-104.675,270.0,top
R13,113.75,-109.5,270.0,top
R14,108.95,-109.5,90.0,top
R15,110.55,-109.5,270.0,top
R16,92.5,-102.525,90.0,top
R17,90.6875,-85.225,0.0,top
R18,135.975,-98.1,180.0,top
R19,90.6875,-82.0,0.0,top
R2,103.225,-100.8725,270.0,top
R20,90.6875,-83.6,0.0,top
R21,132.725,-98.1,180.0,top
R22,100.6875,-85.225,180.0,top
R23,100.6875,-83.6,180.0,top
R24,139.225,-98.1,180.0,top
R25,123.675,-78.825,0.0,top
R26,123.675,-80.475,0.0,top
R27,124.675,-107.8,0.0,top
R28,136.3,-107.8,0.0,top
R29,123.8,-97.1,0.0,top
R3,94.205,-109.13,90.0,top
R30,123.8,-91.1,0.0,top
R31,123.8,-92.8,0.0,top
R32,100.6875,-82.0,180.0,top
R33,117.5,-94.295,90.0,top
R4,96.805,-111.73,0.0,top
R5,107.35,-99.875,270.0,top
R6,108.95,-99.875,90.0,top
R7,112.15,-99.875,90.0,top
R8,110.55,-99.875,90.0,top
R9,113.75,-99.875,270.0,top
SW1,126.675,-104.1,0.0,top
SW2,138.3,-104.1,0.0,top
SW3,135.55,-84.35,0.0,top
U1,98.275,-95.3725,90.0,top
U2,109.75,-104.675,180.0,top
U3,117.322,-94.12,270.0,top
U4,95.6875,-82.775,270.0,top
U5,100.8275,-83.1275,0.0,top
U6,138.55,-112.875,0.0,top
